0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:28:24 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:29:43 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:29:44 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3702
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:29:46 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17431
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:29:59 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:31:43 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:31:43 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3733
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:31:46 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17431
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:32:13 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:32:13 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:32:15 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17431
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:33:22 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:33:22 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:33:25 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17431
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:35:50 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:35:50 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:36:02 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:36:02 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 200 3858
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:36:08 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17431
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:37:55 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 2396
